fecha,NO_CEDULA,FRECUENCIA,VENTA_NETA,VENTA_NETA_DIGITAL,FACTURAS_TOTAL,FACTURAS_DIGITAL,TICKET_PROMEDIO_TOTAL,TICKET_PROMEDIO_DIGITAL,CL_CALL,CL_COM,CL_APP,CL_TIENDA,flag_digital
2023-11-19,3798826766,3,11099901.53,,89744668,,49499821.92,,1,4,4,5,False
2023-11-15,1474190033,6,18575521.15,,13822002,,56978558.05,,2,4,1,3,False
2023-11-15,3814838131,8,43996105.65,,61668382,,61807571.7,,0,1,0,3,False
2023-11-13,3788608741,7,,16360312.76,,80292683,,80257529.0,4,0,5,0,True
2023-11-16,2200883977,3,,37139929.64,,20490459,,76316897.18,0,3,4,4,True
2023-11-19,2546840583,1,1207722.87,,16790667,,85060493.96,,0,4,4,0,False
2023-11-13,2031819489,4,,15049032.06,,55828945,,39481412.37,3,3,5,1,True
2023-11-18,3793167394,1,54114956.01,,22596876,,38201785.2,,0,5,0,5,False
2023-11-16,3214022558,2,70222483.68,,12588760,,92863165.34,,5,3,3,5,False
2023-11-18,2758765861,7,,91170586.95,,46094699,,90600876.93,5,1,0,5,True
2023-11-14,2968385169,3,98644703.69,,29430101,,20490166.91,,3,4,4,5,False
2023-11-18,2709681586,0,29943761.18,,51750189,,36501555.09,,3,5,2,0,False
2023-11-13,3597057368,5,30653917.62,,98150530,,26113012.26,,0,2,1,2,False
2023-11-17,3044728613,8,31604943.61,,3233872,,54773654.08,,1,0,4,0,False
2023-11-17,1492558863,4,76236403.86,,7732286,,28588800.14,,0,4,0,1,False
2023-11-19,3572983871,9,20039611.06,,45184474,,54464142.48,,4,0,3,1,False
2023-11-13,3987531684,5,37478940.99,,3354330,,25815672.98,,3,1,4,2,False
2023-11-13,1676218366,2,,89999092.69,,65086190,,73161981.19,1,2,4,5,True
2023-11-17,2778130074,5,,24468364.6,,39065135,,31993788.8,0,4,1,4,True
2023-11-14,3116288311,6,,35159479.66,,33051653,,3529108.34,0,0,4,5,True
2023-11-19,2898942415,4,,3200646.64,,47034005,,26040661.68,0,2,3,3,True
2023-11-14,1161658084,8,18579639.96,,19011713,,70473037.53,,5,4,5,5,False
2023-11-18,1373192316,5,63527703.68,,52824676,,77781889.36,,1,2,1,4,False
2023-11-13,1143051787,0,,27290932.6,,50187539,,82700269.41,0,1,2,0,True
2023-11-19,1264710665,3,87937438.36,,82236671,,60672180.4,,5,2,4,3,False
2023-11-14,1725492283,10,56904300.26,,54705430,,75585887.35,,0,2,2,2,False
2023-11-17,2809214892,0,76585005.74,,75088910,,61683151.13,,3,1,0,3,False
2023-11-14,1699020270,9,,58243022.11,,41661017,,34324857.4,0,4,4,2,True
2023-11-19,3793918055,4,79225691.53,,42421319,,91327064.98,,4,0,0,1,False
